"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Fearfully Surprised","Happily Surprised","Sadly Surprised","Disgustedly Surprised","Angrily Surprised","Sadly Fearful","Sadly Angry","Other"
00:00:00.000,00:00:09.680,,,,,,"1",,
00:00:09.700,00:00:10.820,"1",,,,,,,
00:00:12.940,00:00:19.300,,,,,,"1",,
00:00:19.300,00:00:22.150,"1",,,,,,,
00:00:22.163,00:00:40.000,,,,,,"1",,
00:00:43.338,00:00:55.350,,,,,,"1",,
00:00:55.388,00:01:01.600,,,,,,,"1",
00:01:03.200,00:01:08.425,,,,,,"1",,
00:01:08.425,00:01:12.500,"1",,,,,,,
00:01:12.538,00:01:18.275,,,,,,"1",,
00:01:18.275,00:01:21.280,"1",,,,,,,
